Link Channel,ID Channel,Waktu,Link video,Komentar,Like,dot 2
https://www.youtube.com/@lialestari2202,@lialestari2202,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxvCGMCl3jqCTMIxt94AaABAg,"Pertama nonton qodrat 2 gak kepengen nonton pabrik gula tp bbrp temen nanya pabrik gula dah nonton blm? Bagus gak?
Trus liat jumlah penonton yg ngalahin qodrat 2 bikin penasaran akhirnya besoknya nonton pabrik gula..
Film horor yg seperti horor pada umumnya, adegan ena² kyknya gak perlu ditunjukkin secara jelas (gw nonton yg uncut) sekilas aja yg penting nunjukin mereka lagi berbuat..
Krn sblmnya nonton qodrat 2 jd ekspektasi udh ketinggian huhu",2.0,
https://www.youtube.com/@nalendrapermana4831,@nalendrapermana4831,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgyoQEM2A1wcg9LlncZ4AaABAg,"Ada yg lebih horor..
1. KKN di pabrik minyak
2. KKN di pabrik listrik
3. KKN di pabrik undang undang
4. 
5. 
Ngeri banget pokoknya KKN di konoha...",2.0,
https://www.youtube.com/@sekenco0is,@sekenco0is,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgyT5a-Pd_K-2wI0chJ4AaABAg,menurut aku bagus bagus aja kok,2.0,
https://www.youtube.com/@Maliqmanan,@Maliqmanan,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwQQWVvBWkfeUF6aMJ4AaABAg,Template banget sama KKN cuma yg satu di hutan yg satu di pabrik.,3.0,
https://www.youtube.com/@KevinTejakusuma208,@KevinTejakusuma208,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgyL8DFdSomFPstA4Lp4AaABAg,"A MINECRAFT MOVIE sneak preview mulai BESOK sampe MINGGU, wahai netijen",1.0,
https://www.youtube.com/@eddiensurya,@eddiensurya,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugyj0OpvSidfigNgY4t4AaABAg,"Kemaren nonton siang hari milih yang versi cut ada juga scene 21+nya persis kaya' versi video  bajakan yang sudah bersliweran di sosmed, yang versi cut aja sevulgar itu jadi penasaran apa pembeda diantara keduanya, lebih parahnya banyak orang kolot yang nonton bawa anak kecil. bukannya diajak nonton film jumbo malah nonton ni film",2.0,
https://www.youtube.com/@terizanorymada5211,@terizanorymada5211,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzZFyde-4m4A53L-8x4AaABAg,Mesti nya KIMO yg buat ini... Pasti lbh tergali cerita nya,2.0,
https://www.youtube.com/@tiaraprmata,@tiaraprmata,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgyiYl8VPvkiP2wMhTR4AaABAg,"Menurut aku adegan yg dukunnya kemasukan jin matanya merah² gitu serem sih, pas kesurupan jalan diatas beling sampe makan beling serem bgt(Bagi aku). Tapi pas endingnya begitu, gatau knp tetiba nyeplos aja ""ah ternyata ini mah gak ada bedanya sm KKN"" . Wktu aku nonton 1 studio full dari atas smpe bawah, pas H+2 lebaran, entah apakah org² se studio itu kecewa jg krna ceritanya mirip KKN apa engga",1.0,
https://www.youtube.com/@chocobiechocolate1478,@chocobiechocolate1478,4 bulan yang lalu (diedit),https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxL5Dvy6FgRu5qi0-d4AaABAg&pp=0gcJCSMANpG00pGi,pertamax. jujur nih pilem bener sih terselamatkan sama komedinya. kalo yg lain ya udah formula kkn desa mpok nori aja. yg gw suka di sini juga hantunya banyak dan variatif. tp lore mereka kayak kureng tergali aja. kayak hantu rsj kenapa cuma sebiji? kalo tempat itu dulu rsj harusnya yg mati bukan cuma 1,3.0,
https://www.youtube.com/@wahyuzanearetha5049,@wahyuzanearetha5049,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgyXlajS9KxBy_bNMTd4AaABAg,Fix mau movie marathon Jumbo & Qodrat ajaa,36.0,
https://www.youtube.com/@gfreelly,@gfreelly,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugx1V-qBZGXEZFSU8Gh4AaABAg,Kk Anthy cancik sekaleee,3.0,
