"Link Channel","Like","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@CliperGames96","@CliperGames96","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyxiI0d-urk_dRLaGt4AaABAg","Imajinari memberikan standart film indo","2"
"https://www.youtube.com/@nokiariw","@nokiariw","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy5oYJl-OtR6VoOKSd4AaABAg&pp=0gcJCSMANpG00pGi","Semua karakter yang muncul di film ini dibekali punchline","4"
"https://www.youtube.com/@nafaokthasalsalbilla6272","@nafaokthasalsalbilla6272","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyNL3hBLl93yMBJ-GV4AaABAg","Emang pecah sih, ini aja nonton review cine crib jadi inget lagi jokes gobloknya malah ketawa lagi wkwkwk","4"
"https://www.youtube.com/@nazarudinnur2549","@nazarudinnur2549","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyMZ3C_a_8QDIoael94AaABAg","Imajinari","2"
"https://www.youtube.com/@lionelsikudo","@lionelsikudo","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyfRFjL0OPr83q2-rp4AaABAg","pasukan bermarga mengucapkan terimakasih atas pujiannya....kami syang cinecrib","18"
"https://www.youtube.com/@reshyabsidqi1583","@reshyabsidqi1583","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzFhSYFcy49umKsRqd4AaABAg","React trailer film pemandi jenazah donk bng","2"
"https://www.youtube.com/@yaidyl7905","@yaidyl7905","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugydabtgxy-EPnCs9Et4AaABAg","Aaaak kangen kalian banget",""
"https://www.youtube.com/@fahrezafray2689","@fahrezafray2689","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzRaAcOD1WXfa30ITB4AaABAg","Oki Rengga gak diajak pas di NNS dan dibayar lunas dengan aktingnya yang cukup memukau di Agak Laen, kalo menurut gw Oki MVP di Agak Laen ini","207"
"https://www.youtube.com/@senoaji3230","@senoaji3230","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugx1B9diDrH3hwj17ql4AaABAg","Baru aja selesai nonton yg 12.30, 2 jam nonton nonstop ngakak gk ada bosennya. Bagus bgt.","5"
"https://www.youtube.com/@Putunitikavidya_27","@Putunitikavidya_27","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzRsW0fdUawhEHRCMF4AaABAg","emang lucu bgt ya diatas penderitaan","1"
"https://www.youtube.com/@menorah759","@menorah759","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyEdCmvUj0MwfAbTzp4AaABAg","Yess awal tahun udh the best sih...","1"
"https://www.youtube.com/@ilhamwahyudi9","@ilhamwahyudi9","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy56f0P87BWphRgRux4AaABAg","Agak laen, gila, keren.","2"
"https://www.youtube.com/@dgilangdwmny8774","@dgilangdwmny8774","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugz7fHcWdivPAOslG4h4AaABAg","Oki Rengga is the MVP. Ngeliat mimik muka sama gestur Oki Rengga aja udah ngakak.","101"
"https://www.youtube.com/@didiettry","@didiettry","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgylL6bReApGgo-aCHh4AaABAg","Satu Studio ngakak terus, entar pas mulai ada drama jadi hening, entar pada ngakak lagi","4"
"https://www.youtube.com/@dvwn5389","@dvwn5389","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugx6wu6HSQP2MmeAEsx4AaABAg","auto otw nonton hari ini!!","1"
